fecha,turno,activo,pais,identificador_orbita,norad,frecuencia,velocidad_km_s,argumento_perigeo_deg,perigeo_km,apogeo_km,altitud_km,paso_inicio_hl,paso_fin_hl,estado,tle1,tle2
2026-09-09,07:00-23:00,NEE-01,ECUADOR,72336,39151,910 mHZ,7.57,248.75,585,600,584.98,16:31,16:34,INACTIVO,1 39151U 13018B 26251.19009676 .00001515 00000-0 14780-4 0 9991,2 39151 98.1342 38.1613 0011214 248.7550 111.2472 14.93997484723097
2026-09-09,07:00-23:00,SSOT,CHILE,79679,38011,,7.54,97.8,627,629,624.1,21:35,21:36,ACTIVO,1 38011U 11076E 26252.93896207 .00000412 00000-0 57529-4 0 9998,2 38011 97.7996 311.2929 0001377 90.8289 82.7631 14.82649572796932
2026-09-10,07:00-17:00,SSOT,CHILE,79759,38011,,7.55,91.41,627,629,623.0,09:55,10:04,ACTIVO,1 38011U 11076E 26253.86242977 .00000586 00000-0 79059-4 0 9994,2 38011 97.7996 312.1934 0001389 91.4066 328.2194 14.82651346797071
2026-09-10,07:00-17:00,AMAZONIA 1,BRASIL,29094,47699,,7.47,323.95,761,764,761.0,11:10,11:21,ACTIVO,1 47699U 21015A 26252.81190423 .00000114 00000-0 49217-4 0 9992,2 47699 98.4248 324.2517 0002096 323.9474 36.1573 14.40844621290836
2026-09-10,07:00-17:00,PERUSAT-01,PERU,53200,41770,,7.5,323.95,704,706,707.0,11:14,11:25,ACTIVO,1 41770U 16058A 26253.30295890 .00000066 00000-0 24007-4 0 9992,2 41770 98.1966 325.8238 0001452 81.9505 278.1859 14.58555718531504
2026-09-10,07:00-17:00,NEE-01,ECUADOR,72351,39151,910 mHZ,7.57,248.75,585,600,585.0,16:37,16:45,INACTIVO,1 39151U 13018B 26253.40028851 .00001523 00000-0 14860-3 0 9991,2 39151 98.1344 40.4491 0011354 240.7144 119.2941 14.94003638723421
2026-09-11,07:00-17:00,PERUSAT-01,PERU,53200,41770,,7.5,82.28,704,706,707.0,10:20,10:35,ACTIVO,1 41770U 16058A 26254.60638851 .00000217 00000-0 56612-4 0 9999,2 41770 98.1966 327.1096 0001459 82.3924 277.7440 14.58556947531694
2026-09-11,07:00-17:00,AMAZONIA 1,BRASIL,29094,47699,,7.47,323.95,761,764,761.0,10:50,11:05,ACTIVO,1 47699U 21015A 26254.47855891 .00000117 00000-0 50087-4 0 9993,2 47699 98.4246 325.8935 0002016 316.9578 43.1453 14.40845074291079
2026-09-11,07:00-17:00,GALAPAGOS-UTE,ECUADOR,3930,67279,437.050Mhz(dwl),7.61,65.89,491,512,505.0,11:25,11:35,ACTIVO,1 67279U 25313AH 26253.99525231 .00005006 00000-0 21017-3 0 9994,2 67279 97.3863 327.2818 0015138 65.8906 294.3913 15.23809164 39015
2026-09-11,07:00-17:00,NEE-02,ECUADOR,53160,39441,980 Mhz,7.51,240.71,568,661,650.48,13:39,13:45,INACTIVO,1 39441U 13066AB 26254.55598279 .00001162 00000-0 13127-3 0 9993,2 39441 97.8931 193.1894 0066483 145.2492 215.3094 14.86897646689038
2026-09-11,07:00-17:00,PERUSAT-01,PERU,53200,41770,,7.5,81.4,704,706,707.0,21:27,21:35,ACTIVO,41770U 16058A 26254.81219353 .00000265 00000-0 66824-4 0 9999,2 41770 98.1965 327.3125 0001459 81.4049 278.7315 14.58556944531729
